MSOACD,NaPTANID,Distance
E02001520,9100DODWRTH,2212.09621782
E02001521,9100BNSLY,884.330616356
E02001528,9100WOMBWEL,3535.69137852
E02001529,9100BNSLY,2537.72754801
E02002426,9100WDLESFD,669.46582421
E02002427,9100WDLESFD,2473.49428448
E02002424,9100MRLY,1379.09337703
E02002425,9100MRLY,4181.79590528
E02002422,9100COTNGLY,994.213272726
E02002423,9100COTNGLY,4334.17289931
E02002420,9100COTNGLY,1879.43428456
E02002421,9100LEEDS,3458.36557041
E02002428,9100MRLY,3802.92701705
E02002776,9100YORK,3584.21031701
E02002777,9100YORK,2845.56630766
E02002774,9100POPLTON,5974.734542
E02002775,9100YORK,4224.16390175
E02002772,9100YORK,9161.58888946
E02002773,9100YORK,6644.90129879
E02002770,9100KRTNLND,2961.75996938
E02002771,9100CROWLE,11105.519106
E02002778,9100YORK,2531.8228027
E02002779,9100YORK,2966.40162623
E02001626,9100SHEFFLD,4931.84356889
E02001627,9100SHEFFLD,4391.13546035
E02001624,9100MEADWHL,918.010539235
E02001625,9100MEADWHL,3979.69947074
E02001622,9100SHEFFLD,4966.99506198
E02001623,9100MEADWHL,2403.48269849
E02001620,9100MEADWHL,2484.43653176
E02001621,9100MEADWHL,3337.11908847
E02002697,9100ARRAM,7334.58677643
E02002696,9100ARRAM,3373.36389255
E02002695,9100ARRAM,17166.553483
E02002694,9100HOWDEN,19334.1563952
E02001628,9100MEADWHL,1223.15504809
E02002693,9100NAFERTN,10535.525091
E02001629,9100SHEFFLD,3126.00369282
E02002692,9100YORK,12878.2390651
E02002691,9100DRIFILD,2189.73606914
E02002699,9100BEVERLY,1430.90738925
E02002698,9100GLBRDYK,13527.8445509
E02006852,9100HEDNGLY,1490.02077596
E02002336,9100HSFT,4379.84069416
E02002337,9100GUISELY,536.835636244
E02002334,9100ULESKLF,10304.7828608
E02002335,9100PANNAL,9366.8965872
E02002332,9100MENSTON,3315.39601381
E02002333,9100MENSTON,2961.23897706
E02002330,9100CATTAL,8409.47819886
E02002331,9100CATTAL,8400.417126
E02002338,9100GUISELY,611.061987854
E02002339,9100GUISELY,1821.52587915
E02002246,9100HLFX,3307.40877343
E02002247,9100HBDNBDG,900.580972156
E02002244,9100HLFX,4713.49026683
E02002245,9100HLFX,4896.32847379
E02002242,9100LOWMOOR,955.588058544
E02002243,9100LOWMOOR,1439.84701636
E02002240,9100HLFX,5081.79761684
E02002241,9100LOWMOOR,2703.99750371
E02002248,9100HLFX,3373.98233701
E02002249,9100HLFX,2470.65166301
E02001536,9100ELSC,3213.55635721
E02001537,9100ELSC,467.746251579
E02001534,9100WOMBWEL,1203.56360791
E02001535,9100SKSCMN,3043.82497791
E02001532,9100PENISTN,648.516643088
E02001533,9100BLTNODR,580.786217974
E02001530,9100GLDTHRP,434.512104417
E02001531,9100WOMBWEL,1130.8372342
E02001538,9100ELSC,1176.98920904
E02001539,9100THORNEN,2239.04737016
E02002436,9100OUTWOOD,2707.90028639
E02002437,9100MRLY,3074.79993658
E02002434,9100OUTWOOD,2316.65235979
E02002435,9100MRLY,1700.45315517
E02002432,9100CASTLFD,3232.94972412
E02002433,9100MRLY,1157.36556886
E02002430,9100MRLY,2731.10155734
E02002431,9100MRLY,553.117458231
E02002438,9100GLASHTN,3009.21274006
E02002439,9100CASTLFD,282.140362022
E02002746,9100GRMSBYT,3243.66710223
E02002747,9100GRMSBYT,4352.30990353
E02002744,9100GRMSBYT,2151.08588164
E02002745,9100CLTHRPS,3102.12509135
E02002742,9100CLTHRPS,1328.24069336
E02002743,9100CLTHRPS,1822.76785648
E02002740,9100GRMSBYT,2035.6055577
E02002741,9100GRMSBYT,1017.84543416
E02002748,9100GRMSBYT,5549.2760478
E02002749,9100BRTHMBR,581.719309091
E02001636,9100SHEFFLD,2110.92739727
E02001637,9100DARNALL,617.106466853
E02001634,9100SHEFFLD,3240.68198105
E02001635,9100SHEFFLD,4602.06680238
E02001632,9100SHEFFLD,2229.37575278
E02001633,9100SHEFFLD,5658.01852807
E02001630,9100SHEFFLD,3046.35392918
E02001631,9100SHEFFLD,4476.90750672
E02001638,9100SHEFFLD,2807.48993679
E02001639,9100SHEFFLD,3258.00270592
E02002306,9100SLTHWTE,3030.5224358
E02002387,9100BRMLYSR,457.305385996
E02002307,9100DEIGHTN,2264.17242573
E02002386,9100CSGT,657.53045792
E02002304,9100HDRSFLD,1138.81991317
E02002385,9100BRLEYPK,340.560786577
E02002305,9100HDRSFLD,1608.18532694
E02002384,9100LEEDS,1549.01662377
E02002302,9100DEIGHTN,2131.22418169
E02002383,9100BRLEYPK,427.05789897
E02002303,9100HDRSFLD,2326.82084543
E02002382,9100LEEDS,2972.60925414
E02002300,9100HDRSFLD,3357.48878315
E02002381,9100BRMLYSR,1597.55816041
E02002301,9100HDRSFLD,1288.70876231
E02002380,9100BRMLYSR,1077.16538376
E02002308,9100LKWD,2626.29647285
E02002389,9100CSGT,2704.84681438
E02002309,9100LKWD,1115.00034032
E02002388,9100BRMLYSR,1472.45874102
E02002256,9100TODMRDN,769.646673014
E02002257,9100SWRBBDG,1910.7265287
E02002254,9100HLFX,3019.83089491
E02002255,9100HLFX,1501.14742848
E02002252,9100SWRBBDG,2294.18119235
E02002253,9100SWRBBDG,2218.84512976
E02002250,9100MYTHLMR,462.50201464
E02002251,9100HLFX,1244.90072383
E02002258,9100BRHOUSE,2322.71294195
E02002259,9100HLFX,1611.64320988
E02001587,9100SWINTN,4336.07058586
E02001586,9100ROTHCEN,2478.70334927
E02001585,9100ROTHCEN,3143.82261904
E02001584,9100CHPLTWN,2326.635854
E02001583,9100SWINTN,2615.98004145
E02001582,9100SWINTN,3411.59571854
E02001581,9100SWINTN,1048.76232154
E02001580,9100SWINTN,674.219129893
E02001509,9100DRTN,4947.87655726
E02001588,9100ROTHCEN,2613.1099943
E02002406,9100EGRFRTH,224.128686071
E02002407,9100BRMLYSR,2377.94313165
E02002404,9100LEEDS,1756.78619511
E02002405,9100NPUD,1329.71234941
E02002402,9100CSGT,1238.583997
E02002403,9100GARFRTH,548.960260275
E02002482,9100MORTHRP,1449.8849632
E02002400,9100BRLEYPK,1789.8805197
E02002481,9100SELMSAL,309.047981136
E02002401,9100CSGT,2337.81608169
E02002480,9100MORTHRP,363.106222812
E02002408,9100NPUD,2110.47415834
E02002409,9100BRMLYSR,1571.82361892
E02002756,9100SCNTHRP,940.936345963
E02002757,9100SCNTHRP,1529.78201802
E02002754,9100CROWLE,1800.83992142
E02002755,9100SCNTHRP,1301.2975755
E02002752,9100ULCEBY,1767.46102431
E02002753,9100SCNTHRP,3062.87874705
E02002750,9100GOXHILL,2165.40830922
E02002751,9100BROUGH,7935.36670108
E02002758,9100SCNTHRP,628.971451665
E02005787,9100NLRTN,24186.0938471
E02002759,9100BRGG,1142.6485493
E02005786,9100GARSDLE,17619.200229
E02005785,9100NLRTN,18383.6281305
E02005784,9100NLRTN,13564.4617267
E02005783,9100DLTN,17211.8335563
E02005782,9100DLTN,10141.722375
E02005781,9100PANNAL,451.784052973
E02005780,9100HRNBPK,1645.26095268
E02005789,9100MALTON,12558.9857549
E02005788,9100MALTON,17609.3144425
E02002666,9100HULL,2288.38350257
E02002667,9100HULL,2705.74648172
E02002664,9100HULL,3813.63040724
E02002665,9100CTTGHM,2355.72557719
E02002662,9100HULL,4976.53736445
E02002663,9100HULL,3234.09294799
E02002660,9100HULL,6611.62455735
E02002661,9100HULL,5881.82677616
E02002668,9100HULL,5116.23005943
E02002669,9100HULL,2130.34761965
E02001606,9100KVTNPK,3801.64319933
E02001607,9100WDHOUSE,3129.49321945
E02001604,9100WDHOUSE,2576.09614021
E02001605,9100KVTNPK,4660.94013971
E02001602,9100ROTHCEN,3112.13134507
E02001603,9100KVTNBDG,5880.84679228
E02001600,9100ROTHCEN,2211.78321663
E02001681,9100DORE,952.504876379
E02001601,9100ROTHCEN,3677.4824456
E02001680,9100DRONFLD,2262.95158092
E02001608,9100KVTNBDG,3113.09657135
E02001609,9100KVTNPK,2362.79545407
E02002316,9100MIRFILD,4318.91051917
E02002397,9100BRMLYSR,929.075952461
E02002317,9100LKWD,904.652423014
E02002396,9100BRMLYSR,1943.73730404
E02002314,9100HDRSFLD,2911.4864146
E02002395,9100NPUD,696.000944431
E02002315,9100LKWD,2158.10295508
E02002394,9100LEEDS,2784.3648502
E02002312,9100HDRSFLD,1389.4145879
E02002393,9100LEEDS,1830.44808296
E02002313,9100LKWD,302.256340109
E02002392,9100LEEDS,1280.86932167
E02002310,9100HDRSFLD,2576.46773079
E02002391,9100NPUD,666.418672891
E02002311,9100SLTHWTE,3003.80782278
E02002390,9100CSGT,849.521619813
E02002318,9100BERRYB,919.277582029
E02002399,9100LEEDS,3029.26754181
E02002319,9100SLTHWTE,731.908700153
E02002398,9100CSGT,1066.1513077
E02002226,9100BRADIN,1705.86527376
E02002227,9100BRADIN,1028.42178247
E02002224,9100BRADIN,1792.93772093
E02002225,9100FRZNGHL,6054.92008913
E02002222,9100FRZNGHL,3611.15736847
E02002223,9100BRADFS,1699.4921821
E02002220,9100NPUD,2282.370749
E02002221,9100BRADFS,418.362015371
E02002228,9100BRADIN,2263.02650033
E02002229,9100BRADFS,4498.62772792
E02001516,9100BNSLY,4636.08113057
E02001597,9100CONBRGH,7777.07021762
E02001517,9100BNSLY,1831.12512303
E02001596,9100ROTHCEN,5422.95285883
E02001514,9100MORTHRP,5150.01607021
E02001595,9100CONBRGH,6952.26848686
E02001515,9100BNSLY,2966.58072864
E02001594,9100ROTHCEN,776.725328524
E02001512,9100DRTN,1725.24938919
E02001593,9100ROTHCEN,1260.64067179
E02001513,9100DRTN,504.135766691
E02001592,9100MEADWHL,2139.61637691
E02001510,9100BNSLY,5036.88417214
E02001591,9100ROTHCEN,1652.00196084
E02001511,9100FITZWLM,5268.96920441
E02001590,9100ROTHCEN,2656.45530541
E02001518,9100BNSLY,1150.05092714
E02001599,9100ROTHCEN,6189.92813855
E02001519,9100BNSLY,2826.80987524
E02001598,9100ROTHCEN,2874.59388479
E02002416,9100WDLESFD,2241.87563624
E02002417,9100EGRFRTH,2715.05927568
E02002414,9100LEEDS,1790.85406335
E02002415,9100LEEDS,2393.7696297
E02002412,9100COTNGLY,1768.66160875
E02002410,9100COTNGLY,2320.82544178
E02002411,9100LEEDS,1653.69442201
E02002418,9100EGRFRTH,2497.42786493
E02002419,9100COTNGLY,1008.9127507
E02002726,9100SBROUGH,3693.68900963
E02002727,9100GRMSBYD,680.791512851
E02002724,9100GOOLE,408.270386348
E02002725,9100SNAITH,466.24632435
E02002722,9100NEWCLEE,17692.9500292
E02002723,9100GOOLE,519.627015226
E02002720,9100GOOLE,2180.78045096
E02002721,9100SLTMRSH,2063.11377763
E02002728,9100GRMSBYT,816.716270454
E02005797,9100WTBY,578.190874004
E02002729,9100GTCOATS,519.022286867
E02005796,9100LEALHLM,3633.04834574
E02005795,9100WTBY,861.282226277
E02005794,9100MALTON,7851.35854912
E02005791,9100MALTON,11184.0914284
E02005790,9100MALTON,19860.9506875
E02005799,9100SCARBRO,2525.87607483
E02005798,9100RUSWARP,7265.07550362
E02002676,9100HULL,1928.66011927
E02002677,9100HULL,2091.27851915
E02002674,9100CTTGHM,2972.9677501
E02002675,9100HULL,1112.52020245
E02002672,9100HULL,6097.9848803
E02002673,9100HULL,3130.50044687
E02002670,9100CTTGHM,2439.69446277
E02002671,9100HULL,3893.91185698
E02002678,9100HULL,2507.11292666
E02002679,9100HULL,3584.55224727
E02001616,9100CHPLTWN,2952.28918086
E02001617,9100MEADWHL,2800.92496729
E02001614,9100CHPLTWN,411.932485018
E02001615,9100CHPLTWN,2878.01817452
E02001612,9100PENISTN,6383.4897917
E02001613,9100CHPLTWN,1860.74479389
E02001610,9100KVTNBDG,418.936437463
E02001611,9100PENISTN,5312.4042826
E02001618,9100CHPLTWN,5844.68789841
E02001619,9100CHPLTWN,3834.87356966
E02002236,9100LOWMOOR,2813.13670246
E02002237,9100LOWMOOR,3715.69576938
E02002234,9100BRADIN,3187.19446933
E02002235,9100BRADIN,1877.9032509
E02002232,9100BRADIN,2858.85847719
E02002233,9100BRADIN,1916.02295125
E02002230,9100BRADIN,1224.37478455
E02002231,9100BRADIN,3593.18729921
E02002238,9100LOWMOOR,2118.13079502
E02002239,9100LOWMOOR,2666.95551889
E02002736,9100GRMSBYT,955.743692388
E02002737,9100NEWCLEE,1672.56309319
E02002734,9100GTCOATS,1688.57239156
E02002735,9100CLTHRPS,579.600903811
E02002732,9100HEALING,1244.04088136
E02002733,9100GRMSBYT,972.425783773
E02002730,9100NEWCLEE,891.835638129
E02002731,9100NEWCLEE,891.336762568
E02002738,9100GTCOATS,2301.16144102
E02002739,9100CLTHRPS,954.913213056
E02002187,9100MENSTON,330.472396652
E02002186,9100STEETON,1296.57278679
E02002185,9100BURLYIW,515.727490372
E02002184,9100ILKLEY,267.398042106
E02002183,9100ILKLEY,4292.80461199
E02002189,9100KEIGHLY,1268.45587105
E02002188,9100KEIGHLY,2010.8838057
E02006814,9100HESSLE,3250.06337972
E02006813,9100HESSLE,2413.82387182
E02006892,9100DRIFILD,655.081548555
E02006891,9100DRIFILD,1090.84780036
E02002366,9100CSGT,3824.56841455
E02002367,9100BRLEYPK,2247.57779605
E02002364,9100CSGT,2511.58652224
E02002362,9100KRKSLFR,909.963652837
E02002363,9100BRLEYPK,3323.83814425
E02002360,9100BRLEYPK,2450.27075435
E02002361,9100LEEDS,4234.46681557
E02002368,9100NPUD,2115.40824029
E02002369,9100CSGT,2707.95259627
E02002206,9100FRZNGHL,1487.63794851
E02002287,9100DWBY,563.543014978
E02002207,9100FRZNGHL,490.493709873
E02002286,9100DWBY,1589.01283662
E02002204,9100BNGY,2176.66888822
E02002285,9100MIRFILD,3384.77790167
E02002205,9100KEIGHLY,5212.72656599
E02002284,9100BATLEY,1158.473011
E02002202,9100SHPY,645.373183023
E02002283,9100BATLEY,865.133776234
E02002203,9100SHPY,933.036819416
E02002282,9100BATLEY,1957.72375725
E02002200,9100SAIR,577.229147292
E02002281,9100BATLEY,3016.06878186
E02002201,9100APERLYB,1806.27411373
E02002280,9100BATLEY,1224.81145135
E02002208,9100APERLYB,2541.89356926
E02002289,9100DWBY,1231.43007768
E02002209,9100NPUD,2582.43352498
E02002288,9100DWBY,1648.00973373
E02001566,9100DONC,2350.19596075
E02001567,9100DONC,2922.39745726
E02001564,9100KKSNDAL,7765.28297446
E02001562,9100DONC,4686.05325315
E02001563,9100DONC,4326.14065878
E02001560,9100DONC,777.630783754
E02001561,9100DONC,1375.64593147
E02001568,9100MEXBRGH,1241.3070133
E02001569,9100MEXBRGH,765.044401206
E02002466,9100WKFLDWG,4172.4804858
E02002467,9100SABR,555.434615616
E02002464,9100FTHRSTN,577.339465696
E02002465,9100WKFLDWG,1470.28787556
E02002462,9100DWBY,3809.93509531
E02002463,9100WKFLDWG,1980.49739048
E02002460,9100PTFTBHL,1348.82989538
E02002461,9100STHS,1453.34833796
E02002468,9100WKFLDWG,3831.54678554
E02002469,9100STHS,2734.52246524
E02005766,9100HAGT,16036.7058621
E02005767,9100KNRSBGH,1581.09542079
E02005764,9100KNRSBGH,13901.3894489
E02005765,9100KNRSBGH,10426.4678395
E02005762,9100THIRSK,14488.0150216
E02005763,9100THIRSK,11271.2041492
E02005760,9100HAMERTN,8822.70992704
E02005761,9100THIRSK,18558.4859789
E02005768,9100HAGT,3191.96779765
E02005769,9100KNRSBGH,513.093487802
E02002706,9100CTTGHM,653.164826832
E02002787,9100YORK,1638.6027205
E02002707,9100BROUGH,5087.45533044
E02002786,9100YORK,2600.18663643
E02002704,9100HULL,11031.9005459
E02002785,9100YORK,3736.2932242
E02002705,9100CTTGHM,1642.44571164
E02002784,9100YORK,784.988146214
E02002702,9100BEVERLY,186.068089217
E02002783,9100POPLTON,1948.04442321
E02002703,9100BEVERLY,1857.09999541
E02002782,9100POPLTON,434.929014652
E02002700,9100BEVERLY,546.9270136
E02002781,9100YORK,1844.31499269
E02002701,9100HOWDEN,9438.70186264
E02002780,9100YORK,1740.08366039
E02002708,9100CTTGHM,720.398810094
E02002789,9100YORK,2854.09543529
E02002709,9100GLBRDYK,1634.63820427
E02002788,9100YORK,594.662641377
E02001666,9100WDHOUSE,1869.98731071
E02001664,9100SHEFFLD,3628.13225707
E02001665,9100DORE,2452.74238154
E02001662,9100DARNALL,3077.04774509
E02001663,9100SHEFFLD,2805.12898802
E02001660,9100SHEFFLD,2784.38795548
E02001661,9100SHEFFLD,2218.98388604
E02002656,9100CTTGHM,3194.06681428
E02002657,9100HULL,4488.32048932
E02002654,9100CTTGHM,1764.86154267
E02002655,9100HULL,5318.06862526
E02002652,9100CTTGHM,4960.72662415
E02001669,9100DORE,2894.33927118
E02002653,9100CTTGHM,5265.44004525
E02002658,9100HULL,5005.54754333
E02002659,9100CTTGHM,2024.28404896
E02002197,9100BNGY,449.416330986
E02002196,9100KEIGHLY,3976.1750093
E02002195,9100BAILDON,1106.84838379
E02002194,9100KEIGHLY,2346.6349929
E02002193,9100KEIGHLY,1536.90723007
E02002192,9100BNGY,1200.99968538
E02002191,9100KEIGHLY,1418.92255453
E02002190,9100KEIGHLY,237.245417106
E02002199,9100BAILDON,1717.16915384
E02002198,9100BAILDON,882.825634879
E02002376,9100CSGT,3512.34134906
E02002377,9100LEEDS,2934.47995449
E02002374,9100HEDNGLY,160.702066975
E02002375,9100KRKSLFR,780.610791837
E02002373,9100HEDNGLY,773.673289053
E02002370,9100CSGT,1754.22154361
E02002371,9100LEEDS,2693.33835748
E02002379,9100CSGT,1344.41221017
E02002216,9100FRZNGHL,1412.62310735
E02002297,9100HDRSFLD,2014.36790772
E02002217,9100BRADFS,1475.23352926
E02002296,9100MIRFILD,358.920150956
E02002214,9100BRADFS,2484.32197185
E02002295,9100DEIGHTN,626.049980837
E02002215,9100FRZNGHL,1884.69003203
E02002294,9100RTHP,1630.42218555
E02002212,9100FRZNGHL,2900.25820309
E02002293,9100RTHP,830.920325678
E02002213,9100BNGY,5802.77951207
E02002292,9100DEIGHTN,1295.35747033
E02002210,9100FRZNGHL,1644.88738783
E02002291,9100MIRFILD,1556.04196079
E02002211,9100FRZNGHL,1507.46089175
E02002290,9100MIRFILD,1620.77162958
E02002218,9100FRZNGHL,4111.36797872
E02002299,9100DEIGHTN,1621.05258188
E02002219,9100FRZNGHL,2411.81495929
E02002298,9100RTHP,2501.02157476
E02001576,9100DONC,12348.5502828
E02001577,9100DONC,9865.79729936
E02001574,9100DONC,7435.88262473
E02001575,9100DONC,6744.4799576
E02001572,9100CONBRGH,3104.68505217
E02001573,9100CONBRGH,1122.30521923
E02001570,9100CONBRGH,798.147539348
E02001571,9100CONBRGH,3513.58848873
E02001578,9100WOMBWEL,3282.21247997
E02001579,9100SWINTN,2708.65764972
E02002476,9100FITZWLM,541.145183479
E02002477,9100FITZWLM,2705.37459174
E02002474,9100SABR,3403.79384096
E02002475,9100SABR,2288.59435323
E02002472,9100RTHP,5291.55085401
E02002473,9100SABR,3828.4273437
E02002470,9100SABR,1187.66654398
E02002471,9100FITZWLM,3021.26050308
E02002478,9100SELMSAL,2506.74076985
E02002479,9100FITZWLM,2827.91715018
E02005776,9100HAMERTN,1109.10655704
E02005777,9100HRNBPK,1362.14822855
E02005774,9100STARBCK,128.676364333
E02005775,9100HAGT,448.500656606
E02005772,9100KNRSBGH,1304.25776843
E02005773,9100HAGT,1007.7243859
E02005770,9100HAGT,1779.83335698
E02005771,9100HAGT,1819.21784607
E02005778,9100HAGT,8469.33436341
E02005779,9100HRNBPK,876.065075566
E02002716,9100HULL,11401.903756
E02002717,9100HESSLE,1323.99927412
E02002714,9100SBROUGH,16760.2332929
E02002795,9100YORK,5209.13610497
E02002715,9100BROUGH,995.453396376
E02002794,9100YORK,3161.08760161
E02002712,9100HULL,9766.50404196
E02002793,9100YORK,3037.61623445
E02002792,9100YORK,1560.09361923
E02002710,9100CTTGHM,3694.4403944
E02002791,9100YORK,7798.50106585
E02002711,9100HESSLE,3870.47135285
E02002790,9100YORK,1636.14633587
E02002718,9100FERRIBY,1499.9355788
E02002719,9100HESSLE,949.324106443
E02001676,9100DORE,1646.72141462
E02001674,9100DORE,3562.12963518
E02001675,9100WDHOUSE,3479.45639348
E02001672,9100DARNALL,4728.84486383
E02001673,9100WDHOUSE,3037.26967787
E02001670,9100SHEFFLD,4111.83299595
E02001671,9100WDHOUSE,2579.08501076
E02001678,9100DORE,1411.53656849
E02001679,9100DORE,1966.69064447
E02006861,9100BRLEYPK,965.346765322
E02006868,9100SHEFFLD,1015.46831855
E02006869,9100WDHOUSE,3214.23645746
E02005806,9100SEAMER,584.841444538
E02005807,9100SEAMER,4370.17249485
E02005804,9100SCARBRO,714.521628745
E02005805,9100SEAMER,2167.10192704
E02005802,9100SCARBRO,507.023407468
E02005803,9100SCARBRO,1151.59662701
E02005800,9100SCARBRO,773.783152388
E02005801,9100SCARBRO,1472.73288199
E02005808,9100FILEY,431.5243792
E02005809,9100ULESKLF,4798.74552174
E02002346,9100HSFT,698.9738138
E02002347,9100HEDNGLY,4474.33266809
E02002344,9100BRLEYPK,5789.91896634
E02002345,9100HSFT,2896.57488973
E02002342,9100HSFT,1365.63655922
E02002343,9100APERLYB,2108.55666861
E02002341,9100HSFT,5159.455918
E02002348,9100HSFT,1598.70283965
E02002349,9100CSGT,5793.60970768
E02002265,9100TODMRDN,859.341354088
E02005750,9100GTAYTON,3608.23495393
E02002429,9100WDLESFD,3341.45910829
E02001589,9100ROTHCEN,5901.09110006
E02006803,9100WDHOUSE,4329.56485494
E02001565,9100DONC,3872.37710753
E02002340,9100GUISELY,2528.31611623
E02005436,9100TCULVRT,7142.75780993
E02005437,9100SKEGNES,299.209071141
E02005434,9100MTHRNGH,20111.8079262
E02005435,9100SKEGNES,1590.85424547
E02005432,9100TCULVRT,16790.5130597
E02005433,9100SKEGNES,8735.9169961
E02005430,9100MKTR,13309.9091981
E02005431,9100TCULVRT,15228.23491
E02005438,9100SKEGNES,561.316801994
E02005439,9100MTHRNGH,14248.8358207
E02006920,9100BURTNOT,8485.44048911
E02006872,9100CHEF,1491.66085291
E02002826,9100PEARTRE,3858.29143944
E02002827,9100LESTER,5287.65660263
E02002824,9100PEARTRE,2034.39680512
E02002825,9100PEARTRE,2981.73957246
E02002822,9100PEARTRE,2114.77456842
E02002823,9100SPDN,2931.7098696
E02002820,9100PEARTRE,2470.31971536
E02002821,9100PEARTRE,1291.39109091
E02004087,9100LNGEATN,2680.56601985
E02004086,9100SPDN,2518.9131773
E02004085,9100LNGEATN,4351.43976158
E02002828,9100SYSTON,3151.6185201
E02005897,9100FISKRTN,10608.1988276
E02004084,9100ILKES,3111.621443
E02002829,9100LESTER,3697.15456932
E02005896,9100CLHM,406.277328431
E02004083,9100ILKES,2144.80929107
E02005895,9100CLHM,8085.11701519
E02004082,9100ILKES,4378.14718416
E02005894,9100SHRBROK,8427.70868243
E02004081,9100DUFIELD,3786.46546703
E02005416,9100WGSTS,2194.6359446
E02005496,9100KRTNLND,9996.8093218
E02005417,9100BOSTON,8571.89424429
E02005495,9100GBROC,654.659183014
E02005414,9100WGSTS,1598.50360934
E02005494,9100MKTR,495.03407362
E02005415,9100WGSTS,161.134342761
E02005493,9100GBROC,6593.28495534
E02005412,9100WGSTS,3985.88928337
E02005492,9100BNTBY,10055.4106944
E02005491,9100STAMFD,1263.52349222
E02005490,9100STAMFD,1300.26339475
E02005499,9100LINCLNC,9979.50339211
E02005418,9100BOSTON,578.120851355
E02005498,9100SAXILBY,7322.27709114
E02005419,9100BOSTON,613.635142788
E02005676,9100NMPTN,1873.74889615
E02005674,9100NMPTN,1818.94345205
E02005675,9100NMPTN,1771.76165389
E02005672,9100NMPTN,1404.64543916
E02005673,9100NMPTN,990.075274668
E02005670,9100NMPTN,917.145334636
E02005671,9100NMPTN,2331.64731587
E02005678,9100NMPTN,2539.72756712
E02005679,9100NMPTN,3349.72963761
E02006906,9100ILKES,3037.09224307
E02006904,9100NTNG,362.756634437
E02006905,9100NTNG,761.726283906
E02006903,9100WORKSOP,1119.6122133
E02005866,9100LOWDHAM,6647.89691894
E02005864,9100ATNBRO,1751.78852613
E02005865,9100NWSTEAD,4112.92411143
E02005862,9100ATNBRO,1628.66640615
E02005863,9100ATNBRO,1377.315145
E02005860,9100BESTON,650.082405718
E02005861,9100BESTON,308.227580948
E02005868,9100BULWELL,4975.38244126
E02005869,9100BULWELL,5089.27305168
E02006850,9100LESTER,858.142684568
E02006851,9100LESTER,442.090268548
E02002806,9100DRBY,2536.4455157
E02002887,9100BULWELL,3962.51976907
E02002807,9100SPDN,1670.02645348
E02002886,9100NTNG,3510.77446525
E02002804,9100DRBY,4044.10388959
E02002885,9100NTNG,2776.31370292
E02002805,9100SPDN,1487.87723838
E02002884,9100NTNG,2790.24253247
E02002802,9100DRBY,1804.10625592
E02002883,9100NTNG,2894.55894949
E02002803,9100DRBY,1894.19161274
E02002882,9100NTNG,2738.87668519
E02002800,9100DRBY,2687.79583475
E02002881,9100BULWELL,3473.26094077
E02002801,9100DRBY,2776.48067627
E02002880,9100BULWELL,2614.65417074
E02002808,9100DRBY,1752.84528436
E02002889,9100NTNG,1722.74482507
E02002809,9100SPDN,793.69321662
E02002888,9100NTNG,2007.42596927
E02005646,9100KETR,2177.44481699
E02005647,9100KETR,1127.5589404
E02005644,9100KETR,1299.30353777
E02005645,9100KETR,401.427756371
E02005642,9100KETR,2368.00293628
E02005643,9100KETR,2042.33120201
E02005640,9100MRKTHRB,7315.26623229
E02005641,9100KETR,5576.95095676
E02005648,9100KETR,2969.98322768
E02005649,9100KETR,4212.79272976
E02005920,9100LOGHBRO,5892.64486068
E02006911,9100WGSTS,4792.23777575
E02006919,9100BURTNOT,7062.413935
E02004066,9100CHFD,1753.26914264
E02004067,9100CHFD,2013.07943489
E02004064,9100CHFD,1063.18541802
E02005876,9100CRTN,985.872259727
E02004065,9100CHFD,3024.1489499
E02005877,9100CRTN,2265.58942541
E02004062,9100CHFD,3166.4549802
E02005874,9100CRTN,2932.86235903
E02004063,9100CHFD,2174.43464484
E02005875,9100CRTN,1816.37020474
E02004060,9100CHFD,3778.04719812
E02005872,9100BRTJYC,863.941301212
E02004061,9100CHFD,1575.43589609
E02005873,9100CRTN,4296.42090119
E02005870,9100BULWELL,3889.92841276
E02005871,9100CRTN,4525.41015688
E02004068,9100BAMFORD,3610.20610823
E02004069,9100GRNDLFD,6912.15880885
E02005878,9100CRTN,1061.24978699
E02005879,9100NTHRFLD,165.991768549
E02006820,9100LESTER,5287.66077428
E02002816,9100PEARTRE,3288.94110758
E02002897,9100BESTON,3479.51952753
E02002817,9100PEARTRE,1986.82714114
E02002896,9100NTNG,1428.40964003
E02002814,9100PEARTRE,4671.25550845
E02002895,9100NTNG,1509.10087532
E02002815,9100PEARTRE,987.293599437
E02002894,9100BESTON,4018.93612623
E02002812,9100PEARTRE,2453.06412729
E02002893,9100NTNG,2426.78536291
E02002813,9100DRBY,1102.10894424
E02002892,9100ILKES,4516.43355302
E02002810,9100PEARTRE,5061.2555635
E02002891,9100NTHRFLD,2126.67607188
E02006828,9100ILKES,1767.38767854
E02002811,9100DRBY,1514.06598338
E02002890,9100NTNG,1344.44540838
E02002818,9100PEARTRE,816.04283468
E02002899,9100BESTON,2110.22068103
E02002819,9100SPDN,1980.39442564
E02002898,9100NTNG,1906.4779658
E02005366,9100LESTER,6463.10815738
E02005364,9100SYSTON,3192.95013901
E02005365,9100SYSTON,2103.4150026
E02005362,9100SYSTON,882.322003648
E02005363,9100SYSTON,3413.10182226
E02005360,9100BAROWOS,5650.06625366
E02005361,9100SYSTON,275.353488325
